Autor;anyo;Titulo;Pais/Estudios;Efectividad(transmision);Efectividad(Infeccion);Efectividad(Hospitalizacion);Efectividad(Uci);Efectividad(Muerte);Pfizer;Moderna;J&J;Astrazeneca;Sinopharm;Reduccion;Link
Ngyen;2022;Vaccine effectiveness against COVID-19 hospitalization in adults in France: A test negative case control study;Francia;;96;;;;1;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2666991921005479
Young-Xu;2021; Estimated Effectiveness of COVID-19 Messenger RNA Vaccination Against SARS-CoV-2 Infection Among Older Male Veterans Health Administration Enrollees, January to September 2021 ;Estados Unidos;;75;;;;1;1;0;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2787183
Nikhil;2022;COVID-19 Vaccination Associated With Reduced Postoperative SARS-CoV-2 Infection and Morbidity;Estados Unidos;;;45;;;1;1;0;0;0;1;https://journals.lww.com/annalsofsurgery/Abstract/2022/01000/COVID_19_Vaccination_Associated_With_Reduced.7.aspx
Gram;2021;Vaccine effectiveness against SARS-CoV-2 infection, hospitalization, and death when combining a first dose ChAdOx1 vaccine with a subsequent mRNA vaccine in Denmark: A nationwide population-based cohort study;Dinamarca;;88;100;;100;1;1;0;1;0;0;https://journals.plos.org/PLoSmedicine/article?id=10.1371/journal.pmed.1003874
Chia;2021;Virological and serological kinetics of SARS-CoV-2 Delta variant vaccine-breakthrough infections: a multi-center cohort study;Singapur;;;94;;;1;1;0;0;0;1;https://www.clinicalmicrobiologyandinfection.com/article/S1198-743X(21)00638-8/fulltext
Bruxvoort;2021;Effectiveness of mRNA-1273 against delta, mu, and other emerging variants of SARS-CoV-2: test negative case-control study;Estados Unidos;;92;97;;;0;1;0;0;0;0;https://www.bmj.com/content/375/bmj-2021-068848
Pierobon;2022; Impact of vaccination on the spread of SARS-CoV-2 infection in north-east Italy nursing homes. A propensity score and risk analysis ;Italia;;95;98;;95;1;1;0;1;0;1;https://academic.oup.com/ageing/article/51/1/afab224/6424572?login=false
Botton;2022;Reduced risk of severe COVID-19 in more than 1.4 million elderly people aged 75 years and older vaccinated with mRNA-based vaccines;Francia;;;86;;;1;1;0;0;0;1;https://www.sciencedirect.com/science/article/pii/S0264410X21016170
Katz;2022;Early effectiveness of BNT162b2 Covid-19 vaccine in preventing SARS-CoV-2 infection in healthcare personnel in six Israeli hospitals (CoVEHPI);Israel;;94;;;;1;0;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X21015802
Butt;2021; Rate and Risk Factors for Severe/Critical Disease Among Fully Vaccinated Persons With Breakthrough Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection in a High-Risk National Population ;Estados Unidos;;;54;54;58;1;1;1;1;0;1;https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciab1023/6459161?login=false
Bajema;2021;Comparative Effectiveness and Antibody Responses to Moderna and Pfizer-BioNTech COVID-19 Vaccines among Hospitalized Veterans - Five Veterans Affairs Medical Centers, United States, February 1-September 30, 2021;Estados Unidos;;;80;;;1;1;0;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7049a2.htm
Anderegg;2021;Assessing real-world vaccine effectiveness against severe forms of SARS-CoV-2 infection from routine surveillance data in Switzerland;Suiza;;;90;;90;1;1;0;0;0;0;https://scholar.google.es/scholar_url?url=https://osf.io/rxk9b/download&hl=en&sa=X&d=8840873321775853648&ei=pvK3YdGhJ_KP6rQP5ZCbwAU&scisig=AAGBfm16ywCihYTUNhz7_7rAQ3FY8gRR4w&oi=scholaralrt&hist=pqZ2R5QAAAAJ:12206123539516873347:AAGBfm3hfondq1XQhs9lwlSoBfRDq2-TOw&html=&folt=kw
Puranik;2021;Comparative effectiveness of mRNA-1273 and BNT162b2 against symptomatic SARS-CoV-2 infection;Estados Unidos;;75;;;;1;1;0;0;0;0;https://www.cell.com/med/fulltext/S2666-6340(21)00382-2
McGarry;2021;Nursing Home Staff Vaccination and Covid-19 Outcomes;Estados Unidos;;32;;;57;1;1;1;1;0;1;https://www.nejm.org/doi/full/10.1056/NEJMc2115674?query=TOC&cid=NEJM%20eToc,%20December%209,%202021%20DM530136_NEJM_Non_Subscriber&bid=730860514
Bar-On;2021;Protection against Covid-19 by BNT162b2 Booster across Age Groups;Israel;;85;;;95;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2115926
Arbel;2021;BNT162b2 Vaccine Booster and Mortality Due to Covid-19;Israel;;;;;90;1;0;0;0;0;1;https://www.nejm.org/doi/full/10.1056/NEJMoa2115624
Nicolay;2021;Initial assessment of the COVID-19 vaccination’s impact on case numbers, hospitalisations and deaths in people aged 80 years and older, 15 EU/EEA countries, December 2020 to May 2021;Europa;;65;60;;68;1;1;1;1;1;1;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.48.2101030
Singer;2021;Effectiveness of BNT162b2 mRNA COVID-19 vaccine against SARS-CoV-2 variant Beta (B.1.351) among persons identified through contact tracing in Israel: A prospective cohort study;Israel;;72;;;;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S2589537021004715
Rosenberg;2022;Covid-19 Vaccine Effectiveness in New York State;Estados Unidos;;92;86;;;1;1;1;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2116063
Dickerman;2021;Comparative Effectiveness of BNT162b2 and mRNA-1273 Vaccines in U.S. Veterans;Estados Unidos;;60;70;78;80;1;1;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2115463
Patalon;2021; Odds of Testing Positive for SARS-CoV-2 Following Receipt of 3 vs 2 Doses of the BNT162b2 mRNA Vaccine ;Israel;;86;;;;1;0;0;0;0;0;https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2786890
Liu;2021;Effectiveness and safety of SARS-CoV-2 vaccine in real-world studies: a systematic review and meta-analysis;58 estudios;85;93;94;96;95;1;1;1;1;0;0;https://idpjournal.biomedcentral.com/articles/10.1186/s40249-021-00915-3
Sacco;2021;Estimating averted COVID-19 cases, hospitalisations, intensive care unit admissions and deaths by COVID-19 vaccination, Italy, January−September 2021;Italia;;48;73;78;83;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.47.2101001
Mesle;2021;Estimated number of deaths directly averted in people 60 years and older as a result of COVID-19 vaccination in the WHO European Region, December 2020 to November 2021;Europa;;38;50;;51;1;1;1;1;1;1;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.47.2101021
RotShild;2021;Comparing the clinical efficacy of COVID-19 vaccines: a systematic review and network meta-analysis;8 estudios;;75;;;94;1;1;1;1;0;0;https://www.nature.com/articles/s41598-021-02321-z#article-info
Trunfio;2021;Clinical Phenotype and Contagiousness of Early Breakthrough SARS-CoV-2 Infections after BNT162b2 COVID-19 mRNA Vaccine: A Parallel Cohort Study in Healthcare Workers;Italia;;94;;;;1;0;0;0;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-09-01377/article_deploy/vaccines-09-01377-v2.pdf?version=1637756524
Ministerio de Sanidad;2021;Actualización nº 509. Enfermedad por el coronavirus (COVID-19). 23.11.2021;Espanya;;65;80;96;90;1;1;1;1;0;0;https://www.sanidad.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Actualizacion_509_COVID-19.pdf
Saban;2021;Changes in infectivity, severity and vaccine effectiveness against delta COVID-19 variant ten months into the vaccination program: The Israeli case;Israel;;70;;;91;1;1;1;1;0;1;https://www.sciencedirect.com/science/article/pii/S0091743521004631
UKHSA;2021;COVID-19 vaccine surveillance report Week 47;Reino Unido;;70;90;;90;1;1;1;1;0;0;https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1036047/Vaccine_surveillance_report_-_week_47.pdf
Zheng;2021;Real-world effectiveness of COVID-19 vaccines: a literature review and meta-analysis;51 estudios;;89;97;97;99;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S1201971221008572
Naleway;2021;Incidence of SARS-CoV-2 Infection, Emergency Department Visits, and Hospitalizations Because of COVID-19 Among Persons Aged >12 Years, by COVID-19 Vaccination Status - Oregon and Washington, July 4-September 25, 2021;Estados Unidos;;71;;;70;1;1;1;1;0;1;https://www.cdc.gov/mmwr/volumes/70/wr/mm7046a4.htm?s_cid=mm7046a4_w
Giddings;2021;Changes in COVID-19 outbreak severity and duration in long-term care facilities following vaccine introduction, England, November 2020 to June 2021;Inglaterra;;80;;;40;1;1;1;1;0;1;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.46.2100995
Jablonska;2021;The real-life impact of vaccination on COVID-19 mortality in Europe and Israel;Europa,Israel;;;;;72;1;1;1;1;1;0;https://www.sciencedirect.com/science/article/pii/S0033350621003073?via%3Dihub
Salazar;2021;High coverage COVID-19 mRNA vaccination rapidly controls SARS-CoV-2 transmission in long-term care facilities;Espanya;90;75;;;74;1;1;1;1;0;1;https://www.nature.com/articles/s43856-021-00015-1
Kayawi;2021;Vaccine versus Variants (3Vs): Are the COVID-19 Vaccines Effective against the Variants? A Systematic Review;35 estudios;;80;;;;1;1;1;1;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-09-01305/article_deploy/vaccines-09-01305.pdf?version=1636534915
Gier;2021;Vaccine effectiveness against SARS-CoV-2 transmission to household contacts during dominance of Delta variant (B.1.617.2), the Netherlands, August to September 2021;Paises Bajos;50;;;;;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.44.2100977
Marra;2021;The short-term effectiveness of coronavirus disease 2019 (COVID-19) vaccines among healthcare workers: a systematic literature review and meta-analysis;13 estudios;;93;;;;1;0;0;0;0;0;https://www.cambridge.org/core/services/aop-cambridge-core/content/view/FA36D76E2A73592E9D041FC882DD4B66/S2732494X21001959a.pdf/shortterm_effectiveness_of_coronavirus_disease_2019_covid19_vaccines_among_healthcare_workers_a_systematic_literature_review_and_metaanalysis.pdf
Corchado-Garcia;2021;Analysis of the Effectiveness of the Ad26.COV2.S Adenoviral Vector Vaccine for Preventing COVID-19;Estados Unidos;;73;;;;0;0;1;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2785664/corchadogarcia_2021_oi_210925_1634945202.15829.pdf
Tenforde;2021; Association Between mRNA Vaccination and COVID-19 Hospitalization and Disease Severity ;Estados Unidos;;;85;67;;1;1;0;0;0;1;https://jamanetwork.com/journals/jama/fullarticle/2786039
Saciuk;2021; Effectiveness of a Third Dose of BNT162b2 mRNA Vaccine Get access Arrow ;Israel;;87;;;;1;0;0;0;0;0;https://academic.oup.com/jid/article-abstract/225/1/30/6415586?redirectedFrom=fulltext&login=false
McNamara;2021;Estimating the early impact of the US COVID-19 vaccination programme on COVID-19 cases, emergency department visits, hospital admissions, and deaths among adults aged 65 years and older: an ecological analysis of national surveillance data;Estados Unidos;;56;70;;35;1;1;1;1;0;1;https://www.sciencedirect.com/science/article/pii/S0140673621022261
Hitchings;2021;Effectiveness of ChAdOx1 vaccine in older adults during SARS-CoV-2 Gamma variant circulation in Sao Paulo;Brasil;;77;87;;93;0;0;0;1;0;0;https://www.nature.com/articles/s41467-021-26459-6
Macchia;2021; Evaluation of a COVID-19 Vaccine Campaign and SARS-CoV-2 Infection and Mortality Among Adults Aged 60 Years And Older in a Middle-Income Country ;Argentina;;88;;;98;0;0;0;1;1;1;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2785597
Eliott;2021;Exponential growth, high prevalence of SARS-CoV-2, and vaccine effectiveness associated with the Delta variant;Inglaterra;;55;;;;1;1;1;1;0;0;https://www.science.org/doi/10.1126/science.abl9551
Cohn;2021;SARS-CoV-2 vaccine protection and deaths among US veterans during 2021;Estados Unidos;;67;;;79;1;0;1;0;0;0;https://www.science.org/doi/10.1126/science.abm0620
Fiolet;2021;Comparing COVID-19 vaccines for their characteristics, efficacy and effectiveness against SARS-CoV-2 and variants of concern: a narrative review;54 estudios;;90;95;95;90;1;1;1;1;1;0;https://www.sciencedirect.com/science/article/pii/S1198743X21006042
Barda;2021;Effectiveness of a third dose of the BNT162b2 mRNA COVID-19 vaccine for preventing severe outcomes in Israel: an observational study;Israel;;;93;92;81;1;0;0;0;0;0;https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)02249-2/fulltext
Rivasi;2021; Course and Lethality of SARS-CoV-2 Epidemic in Nursing Homes after Vaccination in Florence, Italy ;Italia;;95;;;90;1;0;0;0;0;1;https://www.mdpi.com/2076-393X/9/10/1174/htm
Mor;2021;BNT162b2 vaccine effectiveness was marginally affected by the SARS-CoV-2 beta variant in fully vaccinated individuals;Israel;;94;;;;1;0;0;0;0;0;https://www.jclinepi.com/article/S0895-4356(21)00340-1/fulltext
Grange;2021;Characteristics and risk of COVID-19-related death in fully vaccinated people in Scotland;Escocia;;;;;96;1;0;0;1;0;0;https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)02316-3/fulltext
Singanagayam;2021;Community transmission and viral load kinetics of the SARS-CoV-2 delta (B.1.617.2) variant in vaccinated and unvaccinated individuals in the UK: a prospective, longitudinal, cohort study;Reino Unido;34;;;;;1;0;0;1;0;1;https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00648-4/fulltext
Nordstrom;2021;Effectiveness of heterologous ChAdOx1 nCoV-19 and mRNA prime-boost vaccination against symptomatic Covid-19 infection in Sweden: A nationwide cohort study;Suecia;;65;;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S2666776221002350
Chadeau-Hyam;2021;REACT-1 study round 14: High and increasing prevalence of SARS-CoV-2 infection among school-aged children during September 2021 and vaccine effectiveness against infection in England;Inglaterra;;62;;;;1;1;1;1;0;0;https://spiral.imperial.ac.uk/bitstream/10044/1/91999/12/react1_r14_final.pdf
Mason;2021;Effects of BNT162b2 mRNA vaccine on COVID-19 infection and hospitalisation amongst older people: matched case control study for England;Inglaterra;;60;69;;;1;0;0;0;0;1;https://bmcmedicine.biomedcentral.com/articles/10.1186/s12916-021-02149-4
Sheikh;2021;BNT162b2 and ChAdOx1 nCoV-19 Vaccine Effectiveness against Death from the Delta Variant;Reino Unido;;;;;90;1;0;0;1;0;0;https://www.nejm.org/doi/full/10.1056/NEJMc2113864
Reis;2021;Effectiveness of BNT162b2 Vaccine against Delta Variant in Adolescents;Israel;;90;;;;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMc2114290
Harder;2021;Effectiveness of COVID-19 vaccines against SARS-CoV-2 infection with the Delta (B.1.617.2) variant: second interim results of a living systematic review and meta-analysis, 1 January to 25 August 2021;17 estudios;;68;90;;;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.41.2100920?crawler=true
Pouwels;2021;Effect of Delta variant on viral burden and vaccine effectiveness against new SARS-CoV-2 infections in the UK;Reino Unido;;70;;;;1;0;0;1;0;0;https://www.nature.com/articles/s41591-021-01548-7
Singh;2021;Effectiveness of COVID-19 vaccine in preventing infection and disease severity: a case-control study from an Eastern State of India;India;;83;;;;1;1;1;1;0;0;https://www.cambridge.org/core/services/aop-cambridge-core/content/view/6CAAA68CE4E8340FD66EA316DD04A233/S0950268821002247a.pdf/effectiveness_of_covid19_vaccine_in_preventing_infection_and_disease_severity_a_case_control_study_from_an_eastern_state_of_india.pdf
Freedman;2021; Effectiveness of BNT162b2 Vaccine in Adolescents during Outbreak of SARS-CoV-2 Delta Variant Infection, Israel, 2021 ;Israel;;91;;;;1;0;0;0;0;0;https://wwwnc.cdc.gov/eid/article/27/11/21-1886_article#r8
Giansante;2021;COVID-19 vaccine effectiveness among the staff of the Bologna Health Trust, Italy, December 2020 - April 2021;Italia;;85;100;;;1;1;0;0;0;0;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8477111/
Nordstrom;2021; Association Between Risk of COVID-19 Infection in Nonimmune Individuals and COVID-19 Immunity in Their Family Members ;Suecia;;90;;;;1;0;0;1;0;1;https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2785141
Vaishya;2021;Symptomatic post-vaccination SARS-CoV-2 infections in healthcare workers– A multicenter cohort study;India;;83;;;;1;0;0;1;0;0;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8489275/
Clemmens;2021;Efficacy of ChAdOx1 nCoV-19 (AZD1222) vaccine against SARS-CoV-2 lineages circulating in Brazil;Brasil;;66;95;;;0;0;0;1;0;0;https://www.nature.com/articles/s41467-021-25982-w
Naito;2021; Real-world evidence for the effectiveness and breakthrough of BNT162b2 mRNA COVID-19 vaccine at a medical center in Japan;Japon;;100;;;;1;0;0;0;0;0;https://www.tandfonline.com/doi/full/10.1080/21645515.2021.1984124
ECDC;2021;nterim analysis of COVID-19 vaccine effectiveness against Severe Acute Respiratory Infection due to laboratory- confirmed SARS-CoV-2 among individuals aged 65 years and older, ECDC multicountry study;Europa;;90;;;;1;1;1;1;0;0;https://www.ecdc.europa.eu/sites/default/files/documents/Interim-analysis-of-COVID-19-vaccine-effectiveness.pdf
Chemaitelly;2021;Waning of BNT162b2 Vaccine Protection against SARS-CoV-2 Infection in Qatar;Qatar;;50;96;96;96;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2114114#.YV4djbXz5WU.twitter&uccLastUpdatedDate=2022-02-07%2021%3A17%3A38.936%20%2B0000
Nunes;2021;mRNA vaccine effectiveness against COVID-19-related hospitalisations and deaths in older adults: a cohort study based on data linkage of national health registries in Portugal, February to August 2021;Portugal;;;88;;92;1;1;0;0;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.38.2100833
Martinez-Baz;2021;Product-specific COVID-19 vaccine effectiveness against secondary infection in close contacts, Navarre, Spain, April to August 2021;Espanya;;70;90;;;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.39.2100894
Samson;2021;Associations Between County-level Vaccination Rates and COVID-19 Outcomes Among Medicare Beneficiaries;Estados Unidos;;65;58;58;58;1;1;1;1;0;1;https://aspe.hhs.gov/sites/default/files/documents/8d15a6223df12fcb59de1f031adb1eec/aspe-covid-medicare-vaccine-analysis.pdf
Tartof;2021;Effectiveness of mRNA BNT162b2 COVID-19 vaccine up to 6 months in a large integrated health system in the USA: a retrospective cohort study;Estados Unidos;;73;90;;;1;0;0;0;0;0;https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)02183-8/fulltext
Young-Xu;2021; Coverage and Estimated Effectiveness of mRNA COVID-19 Vaccines Among US Veterans ;Estados Unidos;;95;91;;100;1;1;1;1;0;0;https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2784769
Bjork;2021; High level of protection against COVID-19 after two doses of BNT162b2 vaccine in the working age population - first results from a cohort study in Southern Sweden;Suecia;;86;;;;1;0;0;0;0;0;https://www.tandfonline.com/doi/full/10.1080/23744235.2021.1982144
Agrawal;2021;COVID-19 hospital admissions and deaths after BNT162b2 and ChAdOx1 nCoV-19 vaccinations in 2,57 million people in Scotland (EAVE II): a prospective cohort study;Escocia;;;46;;46;1;0;0;1;0;1;https://www.sciencedirect.com/science/article/pii/S2213260021003805
Falsey;2021;Phase 3 Safety and Efficacy of AZD1222 (ChAdOx1 nCoV-19) Covid-19 Vaccine;Estados Unidos,Chile,Peru;;74;;;;0;0;0;1;0;0;https://www.nejm.org/doi/10.1056/NEJMoa2105290?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
Pilishvili;2021;Effectiveness of mRNA Covid-19 Vaccine among U.S. Health Care Personnel;Estados Unidos;;93;;;;1;1;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2106599
Glampson;2021;Assessing COVID-19 Vaccine Uptake and Effectiveness Through the North West London Vaccination Program: Retrospective Cohort Study ;Londres;;76;;;;1;0;0;1;0;1;https://publichealth.jmir.org/2021/9/e30010
Freedman;2021;The BNT162b2 vaccine effectiveness against new COVID-19 cases and complications of breakthrough cases: A nation-wide retrospective longitudinal multiple cohort analysis using individualised data;Israel;;;98;98;97;1;0;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S2352396421003674
Barandalla;2021;Impact of scaling up SARS-CoV-2 vaccination on COVID-19 hospitalizations in Spain;Espanya;;;95;;;1;1;1;1;0;1;https://www.sciencedirect.com/science/article/pii/S120197122100730X
Granis;2021;Interim Estimates of COVID-19 Vaccine Effectiveness Against COVID-19-Associated Emergency Department or Urgent Care Clinic Encounters and Hospitalizations Among Adults During SARS-CoV-2 B.1.617.2 (Delta) Variant Predominance -Nine States, June-August 2021;Estados Unidos;;;78;;;1;1;1;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7037e2.htm
Self;2021;Comparative Effectiveness of Moderna, Pfizer-BioNTech, and Janssen (Johnson & Johnson) Vaccines in Preventing COVID-19 Hospitalizations Among Adults Without Immunocompromising Conditions  United States, March August 2021;Estados Unidos;;;88;;;1;1;1;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7038e1.htm?s_cid=mm7038e1_w
Thomas;2021;Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine through 6 Months;Estados Unidos,Argentina,Brasil,Africa del Sur,Alemania,Turquia;;91;;;;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2110345
RIVM;2021; Eficacia de la vacunacion contra el COVID-19 frente al ingreso en la UCI y la hospitalizacion en los Paises Bajos;Paises Bajos;;;95;97;;1;1;1;1;0;0;https://www.rivm.nl/sites/default/files/2021-08/Effectiviteit%20van%20COVID-19%20vaccinatieVV270821.pdf
ISS;2021;Epidemia del covid. Actualización nacional 8 de septiembre de 2021 – 12:00;Italia;;77;93;96;96;1;1;1;1;0;1;https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_8-settembre-2021.pdf
RKI;2021;Informe semanal de situación del RKI sobre la enfermedad por coronavirus-2019 (COVID-19);Alemania;;85;96;97;100;1;1;1;1;0;0;https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Wochenbericht/Wochenbericht_2021-09-09.pdf?__blob=publicationFile
ONS;2021; Deaths involving COVID-19 by vaccination status, England: deaths occurring between 2 January and 2 July 2021 ;Inglaterra;;;;;95;1;1;1;1;0;0;https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/articles/deathsinvolvingcovid19byvaccinationstatusengland/deathsoccurringbetween2januaryand2july2021#age-standardised-mortality-rates-for-deaths-involving-covid-19-by-vaccination-status-over-time
Bajema;2021;Effectiveness of COVID-19 mRNA Vaccines Against COVID-19 -Associated Hospitalization - Five Veterans Affairs Medical Centers, United States, February 1-August 6, 2021;Estados Unidos;;;87;;;1;1;0;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7037e3.htm?s_cid=mm7037e3_w
Scobie;2021;Monitoring Incidence of COVID-19 Cases, Hospitalizations, and Deaths, by Vaccination Status - 13 U.S. Jurisdictions, April 4-July 17, 2021;Estados Unidos;;80;92;;94;1;1;1;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7037e1.htm?s_cid=mm7037e1_w
Dagan;2021;Effectiveness of the BNT162b2 mRNA COVID-19 vaccine in pregnancy;Israel;;96;89;;;1;0;0;0;0;0;https://www.nature.com/articles/s41591-021-01490-8
Shah;2021;Effect of Vaccination on Transmission of SARS-CoV-2;Escocia;68;;;;;1;0;0;1;0;1;https://www.nejm.org/doi/full/10.1056/NEJMc2106757?query=featured_home
Yu-Jing Fan;2021;Safety and Efficacy of COVID-19 Vaccines: A Systematic Review and Meta-Analysis of Different Vaccines at Phase 3;12 estudios;;84;99;;86;1;0;1;1;0;0;https://mdpi-res.com/d_attachment/vaccines/vaccines-09-00989/article_deploy/vaccines-09-00989-v2.pdf?version=1630986767
SSI;2021;Covid-19 – infecciones tras la vacunación (dinamarca);Dinamarca;;82;90;;;1;1;1;1;0;0;https://files.ssi.dk/covid19/gennembrudsinfektion/rapport/gennembrudsinfektion-covid19-uge35-2021-83op
Skowroski;2021;Comparative single-dose mRNA and ChAdOx1 vaccine effectiveness against SARS-CoV-2, including variants of concern: test-negative design, British Columbia, Canada;Canada;;65;90;;;1;1;0;1;0;0;https://academic.oup.com/jid/advance-article/doi/10.1093/infdis/jiac023/6515934?login=false
Damasceno;2021;The impact of Vaccination worldwide on SARS-CoV-2 infection: A Review on Vaccine Mechanisms, Results of Clinical Trials, Vaccinal Coverage and Interactions with Novel Variants ;10 estudios;;95;;;;1;1;1;1;0;0;https://pubmed.ncbi.nlm.nih.gov/34473613/
Seppala;2021;Vaccine effectiveness against infection with the Delta (B.1.617.2) variant, Norway, April to August 2021;Noruega;;64;;;;1;1;0;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.35.2100793
Delahoy;2021;Hospitalizations Associated with COVID-19 Among Children and Adolescents - COVID-NET, 14 States, March 1, 2020-August 14, 2021;Estados Unidos;;;87;;;1;0;1;0;0;1;https://www.cdc.gov/mmwr/volumes/70/wr/mm7036e2.htm?s_cid=mm7036e2_w
Siegel;2021;Trends in COVID-19 Cases, Emergency Department Visits, and Hospital Admissions Among Children and Adolescents Aged 0-17 Years;Estados Unidos;;;62;70;;1;0;0;0;0;1;https://www.cdc.gov/mmwr/volumes/70/wr/mm7036e1.htm?s_cid=mm7036e1_w
Sanchez;2021;Analisis de la efectividad y el impacto de la vacunacion frente a COVID-19 en residentes de centros de mayores en España;Espanya;;80;71;;82;1;1;0;0;0;0;https://www.sanidad.gob.es/profesionales/saludPublica/prevPromocion/vacunaciones/covid19/docs/Efectividad_Residentes_Centros_Mayores_Informe.pdf
Antonelli;2021;Risk factors and disease profile of post-vaccination SARS-CoV-2 infection in UK users of the COVID Symptom Study app: a prospective, community-based, nested, case-control study;Reino Unido;;50;81;;;1;1;0;1;0;1;https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00460-6/fulltext#seccestitle150
Fowlkes;2021;Effectiveness of COVID-19 Vaccines in Preventing SARS-CoV-2 Infection Among Frontline Workers Before and During B.1.617.2 (Delta) Variant Predominance — Eight U.S. Locations, December 2020–August 2021;Estados Unidos;;70;;;;1;1;0;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7034e4.htm?s_cid=mm7034e4_w
Chung;2021;Effectiveness of BNT162b2 and mRNA-1273 covid-19 vaccines against symptomatic SARS-CoV-2 infection and severe covid-19 outcomes in Ontario, Canada: test negative design study;Canada;;91;98;;;1;1;0;0;0;0;https://www.bmj.com/content/374/bmj.n1943
Menni;2021;Vaccine side-effects and SARS-CoV-2 infection after vaccination in users of the COVID Symptom Study app in the UK: a prospective observational study;Reino Unido;;66;;;;1;0;0;1;0;1;https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(21)00224-3/fulltext
Iheanacho;2021;A systematic review of effectiveness of BNT162b2 mRNA and ChAdOx1 adenoviral vector COVID-19 vaccines in the general population;11 estudios;;85;95;;96;1;1;1;1;0;0;https://link.springer.com/article/10.1186/s42269-021-00607-w
Griffin;2021;SARS-CoV-2 Infections and Hospitalizations Among Persons Aged ≥16 Years, by Vaccination Status ;Estados Unidos;;83;93;;;1;1;0;0;0;1;https://www.cdc.gov/mmwr/volumes/70/wr/mm7034e5.htm?s_cid=mm7034e5_w
Ranzani;2021;Effectiveness of the CoronaVac vaccine in older adults during a gamma variant associated epidemic of covid-19 in Brazil: test negative case-control study;Brasil;;47;55;;61;0;0;0;1;0;0;https://www.bmj.com/content/374/bmj.n2015.full
Harris;2021;Effect of Vaccination on Household Transmission of SARS-CoV-2 in England;Inglaterra;45;;;;;1;0;0;1;0;1;https://www.nejm.org/doi/full/10.1056/NEJMc2107717#.YR9YEx5cZTN.twitter
